,date,text
19,"<span class=""artDateTime"">16.08.2020</span>","<div class=""artDesc""> en behandling og pleje, der gør, at ældre mennesker ikke unødigt skal indlægges med eksempelvis en urinvejsinfektion, der kunne undgås. Sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> meldte ud på TV 2, at i takt med, at der kommer flere ældre, følger </div>"
20,"<span class=""artDateTime"">15.08.2020</span>","<div class=""artDesc""> i smittetilfældene. Men sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S) sagde på pressemødet lørdag, at man stadig holder godt øje med udviklingen i Aarhus, Silkeborg og Ringsted kommuner. Også kommunerne på Københavns Vestegn monitoreres tæt, sagde han </div>"
21,"<span class=""artDateTime"">15.08.2020</span>","<div class=""artDesc"">Det seneste døgn er der registreret 104 nye smittede med covid-19 i Danmark. Det siger sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S) på et pressemøde i Statsministeriet. Pressemødet har primært handlet om krav om mundbind eller visir </div>"
22,"<span class=""artDateTime"">15.08.2020</span>","<div class=""artDesc"">. Der bliver behov for at prioritere hårdt,« siger hun. Meldingen om obligatoriske mundbind kommer, efter sundhedsmyndighederne og sundhedsminister <b>Magnus</b> <b>Heunicke</b> for en uge siden besluttede, at mundbind er påkrævet i offentlig transport i Aarhus </div>"
23,"<span class=""artDateTime"">14.08.2020</span>","<div class=""artDesc"">Danskerne vil snart blive mødt med et påbud om at bære mundbind, når de skal rejse med bus, tog, metro eller letbane rundt i landet. Det har sundhedsminister <b>Magnus</b> <b>Heunicke</b> meddelt i de politiske forhandlinger om fase 4 i genåbningen </div>"
24,"<span class=""artDateTime"">14.08.2020</span>","<div class=""artDesc"">Den såkaldte ”Smittestop-app” har netop rundet over en million downloads, siden den blev lanceret i juni. Det skriver sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> på Twitter. Appen, der sender advarsler, hvis man har været i nærheden </div>"
25,"<span class=""artDateTime"">12.08.2020</span>","<div class=""artDesc"">Hvis du skal handle i et indkøbscenter, et supermarked eller en stor butik i Silkeborg, så anbefaler myndighederne, at du ifører dig et mundbind. Det var udmeldingen fra sundhedsminister <b>Magnus</b> <b>Heunicke</b> under et pressemøde mandag den 10 </div>"
26,"<span class=""artDateTime"">12.08.2020</span>","<div class=""artDesc"">, at der er et problem, ser jeg ikke nogen grund til at ændre på det, siger han. Enhedslisten er imod Venstres forslag, fortalte sundhedsordfører Peder Hvelplund tidligere onsdag til Ritzau. Hverken sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> (S </div>"
27,"<span class=""artDateTime"">11.08.2020</span>","<div class=""artDesc""> og har den seneste uge stået for en stor del af den daglige nationale smittestigning. I den forgangne uge blev der registreret flere end 50 nye smittede per 100.000 indbyggere i Aarhus Kommune. Fredag valgte sundhedsminister <b>Magnus</b> <b>Heunicke</b> i et forsøg </div>"
28,"<span class=""artDateTime"">11.08.2020</span>","<div class=""artDesc"">Mandag eftermiddag holdt sundheds- og ældreminister <b>Magnus</b> <b>Heunicke</b> pressemøde sammen med bl. a. Søren Brostrøm fra Sundhedsstyrelsen og Kåre Mølbak fra Statens Serum Institut. Her oplyste ministeren, at der fremover anbefales brug </div>"
29,"<span class=""artDateTime"">11.08.2020</span>","<div class=""artDesc""> indfører restriktioner for at inddæmme covid-19. Det samme har en lang række andre partier. På et pressemøde mandag blev sundhedsminister <b>Magnus</b> <b>Heunicke</b> (S) spurgt om, hvorvidt regeringen agter at fremlægge en national plan. Det svarede </div>"
30,"<span class=""artDateTime"">11.08.2020</span>","<div class=""artDesc""> <b>Magnus</b> <b>Heunicke</b> talte på mandagens pressemøde meget varmt for, at de konkrete smitteudbrud rundt i landet mødes med restriktioner og smitteopsporing – og mundbind. Men samtidig slog han fast, at der ikke umiddelbart er planer om at gøre mundbind </div>"
31,"<span class=""artDateTime"">11.08.2020</span>","<div class=""artDesc""> kommuner DF opfordrer på den baggrund sundhedsminister <b>Magnus</b> <b>Heunicke</b> og myndighederne til at få styr på, om det er enkelte begivenheder blandt etniske mindretal der har været skyld i spredningen, eller om der spiller andre faktorer ind. Et notat </div>"
